# X    Y    Z    Distance
-2.282667733176501734e+00 1.313061412951897999e+01 -1.176538665457588451e+01 1.777773670999998146e+01
-9.332867557215541510e+00 1.442369510243101161e+01 4.571927961119043538e+00 1.777773670999997790e+01
-2.111938687976569184e+01 2.425600338132083067e+01 3.096743262803059338e+01 4.464710612999996897e+01
-1.838048608003004603e+01 -4.044358312177769932e+01 -4.454032051654026603e+00 4.464710612999997608e+01
8.765682051920438767e+01 1.235564960739794671e+01 1.604756370339970317e+01 8.996613007999997080e+01
-4.147503709792662363e+00 9.610334760197119408e+01 -1.776253478328631275e+01 9.781903111999986322e+01
8.046469040753265745e+01 -1.803122649095256591e+01 -2.040919055195882237e+01 8.494837602999996307e+01
7.471046736138484334e+01 -1.604610071573557661e+01 -1.941535823928818516e+01 7.884216775999995264e+01
-4.354056850835538839e+00 1.905380144911838158e+01 -8.037173204519629799e-01 1.956147034999997558e+01
-7.585738931525371598e+00 2.799847501747841694e+00 -7.412513911138248757e-01 8.119854357999994221e+00
2.955240657902114876e+00 2.543894811527263045e+00 7.177633152327228538e-02 3.899999999999999023e+00
6.792252128480673334e-02 -2.489531661884286873e+00 -2.182169461292190193e-01 2.499999999999997335e+00
7.296530785688831067e+00 -1.071134163635604608e+01 -6.275969952346819980e+00 1.439999999999998614e+01
6.869856164638499685e+00 3.936014241307791650e+01 6.228630881260664864e+01 7.399999999999998579e+01
5.354109175946979882e+00 -5.114793152335637672e+01 5.730813743103222180e+01 7.699999999999992895e+01
3.013114354205235301e+01 8.690618234088205440e+01 -1.851934065128739704e+00 9.199999999999992895e+01
-1.238956845880609947e+01 8.664521167402366331e+00 1.457479558498824090e+01 2.099999999999998224e+01
-2.941241278006751614e+00 -2.140050059177117703e+01 -1.258442188446294807e+01 2.499999999999998579e+01
8.119190023705196779e+01 -3.049879029455593482e+01 2.754449357794202058e+01 9.099999999999992895e+01
-1.112194690373445383e+01 1.278229161246123269e+01 2.714618422917876472e+01 3.199999999999998579e+01
6.439428736930007391e-01 -3.052733489648919551e+00 1.467195132954699410e+01 1.499999999999999645e+01
2.133635121468471851e+01 -6.964821314941612229e+01 -1.785739404104390715e+01 7.499999999999992895e+01
-3.618796456307985210e+01 2.286395298591259007e+01 -1.388059345414492185e+01 4.499999999999995026e+01
-4.010653520999586163e+01 -5.103295055572935723e+01 -4.325625724708326914e+01 7.800000000000000000e+01
7.152624615532965890e+01 -2.567092921497299685e+01 -9.997520527743835039e-01 7.599999999999994316e+01
-1.707580923375459969e+00 1.903324630535702333e+00 1.478044392908819660e+01 1.499999999999999289e+01
-1.176473927558503085e+01 -4.131264856010472641e+01 -1.963664616674883234e+00 4.299999999999996447e+01
-2.564628351950813290e+00 6.805531638690555107e-01 -2.993247201204380925e+00 3.999999999999998224e+00
-5.398685960752160184e+01 -2.625727221420035562e-01 -1.161914490544751377e+00 5.399999999999998579e+01
-1.776020234216761295e+01 5.698377587321569138e+01 5.475787158022467338e+01 8.099999999999994316e+01
